Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverallSatisfaction,Income,PromotionRatio
46,No,Travel_Frequently,Sales,5,4,Marketing,Male,2,Sales Executive,Single,4,Yes,21,4,0,14,4,9,6,0,8,2.8,Medium,0.0
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,Male,1,Laboratory Technician,Married,1,No,19,3,0,1,2,1,0,0,1,3.8,Low,0.0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,3,Laboratory Technician,Single,9,Yes,13,3,0,23,2,1,0,0,0,2.6,Medium,0.0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,1,Laboratory Technician,Single,1,Yes,13,3,0,2,3,2,2,2,2,2.8,Low,1.0
44,No,Travel_Rarely,Sales,1,5,Marketing,Female,2,Sales Executive,Divorced,5,Yes,21,4,1,9,2,4,3,1,3,2.2,Medium,0.25
35,No,Non-Travel,Research & Development,11,2,Medical,Male,3,Healthcare Representative,Married,2,Yes,13,3,1,10,3,4,0,2,3,2.4,High,0.5
26,No,Travel_Rarely,Sales,23,3,Marketing,Female,2,Sales Executive,Married,7,Yes,19,3,1,5,2,2,2,0,0,2.8,Medium,0.0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,Female,3,Research Director,Single,1,Yes,12,3,0,15,1,15,14,8,12,2.8,High,0.5333333333333333
35,No,Travel_Frequently,Sales,18,5,Life Sciences,Male,3,Sales Executive,Married,1,No,22,4,1,9,3,9,8,1,8,2.4,High,0.1111111111111111
35,No,Travel_Rarely,Research & Development,23,4,Medical,Female,1,Laboratory Technician,Married,3,Yes,15,3,1,4,3,2,2,2,2,2.6,Medium,1.0
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,Male,2,Laboratory Technician,Divorced,3,No,22,4,1,10,3,7,7,1,7,3.4,Medium,0.14285714285714285
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,2,Manufacturing Director,Divorced,1,No,18,3,1,7,2,7,5,0,7,2.6,Medium,0.0
32,No,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Manufacturing Director,Married,1,Yes,22,4,1,9,3,9,8,7,8,2.6,Medium,0.7777777777777778
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,Female,2,Laboratory Technician,Single,1,No,11,3,0,10,2,10,3,9,9,3.6,Low,0.9
50,No,Travel_Rarely,Research & Development,7,2,Medical,Female,5,Research Director,Divorced,5,Yes,12,3,1,29,2,27,3,13,8,2.6,High,0.48148148148148145
59,No,Travel_Rarely,Sales,25,3,Life Sciences,Female,3,Sales Executive,Single,7,No,11,3,0,28,3,21,16,7,9,2.2,High,0.3333333333333333
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,Female,3,Healthcare Representative,Divorced,1,No,13,3,3,17,2,17,14,12,8,2.8,High,0.7058823529411765
55,No,Travel_Rarely,Research & Development,8,3,Medical,Female,4,Manager,Divorced,2,Yes,14,3,3,21,2,5,0,0,2,3.2,High,0.0
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,Male,2,Manufacturing Director,Single,1,No,13,3,0,6,3,6,5,0,3,2.4,Medium,0.0
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,3,Research Scientist,Divorced,2,No,17,3,1,25,2,1,0,0,0,2.4,High,0.0
35,No,Travel_Frequently,Research & Development,1,3,Medical,Male,1,Research Scientist,Married,4,No,13,3,1,5,2,3,2,1,2,2.4,Low,0.3333333333333333
36,Yes,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Research Scientist,Married,0,Yes,17,3,1,2,0,1,0,0,0,2.4,Low,0.0
59,No,Travel_Frequently,Sales,1,1,Life Sciences,Female,2,Sales Executive,Single,7,No,11,3,0,20,2,4,3,1,3,2.4,Medium,0.25
29,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,1,Research Scientist,Married,0,No,23,4,1,6,3,5,4,0,4,3.0,Low,0.0
31,No,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,1,No,17,3,0,1,4,1,1,1,0,2.6,Low,1.0
32,No,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,2,Research Scientist,Married,1,No,17,3,2,10,3,10,4,0,9,2.4,Medium,0.0
36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,Female,1,Laboratory Technician,Married,3,No,12,3,0,5,3,1,0,0,0,3.0,Low,0.0
31,No,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,2,Manufacturing Director,Single,1,No,23,4,0,11,2,11,7,1,8,3.4,Medium,0.09090909090909091
35,No,Travel_Rarely,Sales,1,4,Marketing,Male,2,Sales Executive,Single,0,No,14,3,0,16,2,15,13,2,8,2.2,Medium,0.13333333333333333
45,No,Travel_Rarely,Research & Development,6,4,Other,Male,3,Research Director,Married,4,Yes,14,3,0,17,3,0,0,0,0,2.8,High,0.0
37,No,Travel_Rarely,Research & Development,7,4,Medical,Male,3,Research Director,Single,4,No,13,3,0,16,3,5,2,0,2,2.4,High,0.0
46,No,Travel_Rarely,Human Resources,5,2,Medical,Male,2,Human Resources,Divorced,8,Yes,22,4,1,16,2,4,2,0,2,2.8,Medium,0.0
30,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,2,Laboratory Technician,Married,1,Yes,12,3,2,10,1,10,8,3,0,3.0,Medium,0.3
35,No,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Single,1,No,18,3,0,6,3,6,4,0,4,2.2,Low,0.0
55,No,Travel_Rarely,Sales,1,2,Life Sciences,Male,3,Sales Executive,Married,3,No,14,3,1,24,4,1,0,1,0,3.0,High,1.0
38,No,Non-Travel,Research & Development,6,3,Medical,Female,2,Research Scientist,Divorced,7,Yes,12,3,3,17,3,13,11,1,9,2.8,Medium,0.07692307692307693
34,No,Travel_Rarely,Research & Development,1,2,Medical,Male,2,Manufacturing Director,Married,1,No,15,3,0,5,2,5,2,1,3,2.4,Medium,0.2
56,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Male,3,Manufacturing Director,Single,4,No,11,3,0,37,3,6,4,0,2,2.4,High,0.0
23,No,Travel_Rarely,Sales,2,1,Technical Degree,Male,1,Sales Representative,Divorced,3,No,13,3,1,3,3,0,0,0,0,2.6,Low,0.0
51,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Laboratory Technician,Married,3,No,23,4,2,10,4,4,2,0,3,3.2,Low,0.0
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Healthcare Representative,Married,1,No,19,3,3,11,3,11,10,10,8,2.6,Medium,0.9090909090909091
46,Yes,Travel_Rarely,Sales,9,2,Medical,Male,3,Sales Executive,Single,1,No,16,3,0,9,3,9,8,4,7,3.2,High,0.4444444444444444
40,No,Travel_Frequently,Research & Development,1,4,Life Sciences,Male,4,Healthcare Representative,Married,1,No,22,4,1,22,3,22,3,11,11,2.6,High,0.5
51,No,Travel_Rarely,Sales,21,4,Marketing,Male,2,Sales Executive,Single,0,Yes,22,4,0,11,2,10,7,1,0,3.0,Medium,0.1
30,No,Travel_Rarely,Sales,4,2,Medical,Female,2,Sales Executive,Divorced,1,Yes,12,3,3,11,4,11,8,2,7,2.2,Medium,0.18181818181818182
46,No,Travel_Frequently,Research & Development,1,3,Medical,Male,3,Healthcare Representative,Married,2,Yes,13,3,1,21,5,10,9,9,5,2.2,High,0.9
32,No,Travel_Rarely,Sales,6,4,Medical,Male,2,Sales Executive,Single,1,No,16,3,0,12,0,11,8,5,7,2.4,Medium,0.45454545454545453
54,No,Travel_Rarely,Research & Development,2,4,Technical Degree,Female,3,Research Director,Married,9,No,12,3,1,16,5,4,3,0,3,1.8,High,0.0
24,No,Travel_Rarely,Sales,3,2,Other,Female,2,Sales Executive,Married,0,No,21,4,1,4,2,3,2,0,2,2.0,Medium,0.0
28,No,Non-Travel,Sales,4,3,Medical,Male,2,Sales Executive,Married,1,No,15,3,0,5,3,5,4,0,4,2.8,Medium,0.0
58,No,Travel_Rarely,Sales,10,4,Medical,Male,4,Sales Executive,Single,0,No,13,3,0,38,1,37,10,1,8,3.0,High,0.02702702702702703
44,No,Non-Travel,Research & Development,23,3,Medical,Male,2,Laboratory Technician,Married,4,No,12,3,1,17,3,3,2,1,2,2.8,Low,0.3333333333333333
37,Yes,Travel_Rarely,Human Resources,6,4,Human Resources,Male,1,Human Resources,Divorced,4,Yes,22,4,0,7,3,3,2,0,2,2.8,Low,0.0
32,No,Travel_Rarely,Research & Development,1,1,Life Sciences,Male,1,Research Scientist,Single,1,No,13,3,0,1,2,1,0,0,0,3.0,Low,0.0
20,Yes,Travel_Frequently,Research & Development,6,3,Life Sciences,Female,1,Laboratory Technician,Single,1,Yes,18,3,0,1,5,1,0,1,0,3.0,Low,1.0
34,No,Travel_Rarely,Research & Development,6,4,Other,Female,2,Research Scientist,Single,1,No,14,3,0,16,3,16,13,2,10,2.6,Medium,0.125
37,No,Non-Travel,Research & Development,2,2,Life Sciences,Male,2,Healthcare Representative,Divorced,5,No,14,3,1,17,2,1,0,0,0,3.4,Medium,0.0
59,No,Non-Travel,Human Resources,2,4,Human Resources,Female,5,Manager,Married,9,No,21,4,1,30,3,3,2,2,2,3.2,High,0.6666666666666666
50,No,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,5,Research Director,Married,3,Yes,19,3,0,28,1,8,3,0,7,1.8,High,0.0
25,Yes,Travel_Rarely,Sales,5,3,Marketing,Male,2,Sales Executive,Single,1,Yes,11,3,0,6,1,6,4,0,3,3.0,Medium,0.0
25,No,Travel_Rarely,Research & Development,7,1,Medical,Male,1,Research Scientist,Married,1,No,11,3,2,2,2,2,2,2,1,3.2,Low,1.0
22,No,Travel_Rarely,Research & Development,15,3,Medical,Female,1,Laboratory Technician,Single,1,No,15,3,0,1,5,0,0,0,0,3.0,Low,0.0
51,No,Travel_Frequently,Research & Development,1,4,Medical,Female,3,Healthcare Representative,Single,3,No,20,4,0,23,1,13,12,12,8,1.8,High,0.9230769230769231
34,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,2,Laboratory Technician,Single,1,Yes,24,4,0,9,3,9,7,0,6,2.4,Medium,0.0
54,No,Non-Travel,Human Resources,26,3,Human Resources,Female,4,Manager,Single,2,Yes,12,3,0,23,3,5,3,4,4,3.6,High,0.8
24,No,Travel_Rarely,Research & Development,18,1,Life Sciences,Male,1,Laboratory Technician,Married,0,No,12,3,1,6,2,5,3,1,2,2.8,Low,0.2
34,No,Travel_Rarely,Research & Development,6,4,Life Sciences,Female,2,Research Scientist,Divorced,6,No,15,3,1,12,3,1,0,0,0,2.6,Medium,0.0
37,No,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Sales Executive,Single,2,No,12,3,0,12,3,5,3,1,3,2.8,High,0.2
34,No,Travel_Rarely,Research & Development,5,3,Medical,Female,3,Manager,Single,2,No,12,3,0,14,6,11,10,5,8,2.6,High,0.45454545454545453
36,No,Travel_Frequently,Sales,11,2,Technical Degree,Female,3,Sales Executive,Married,0,No,14,3,1,10,6,9,7,2,8,3.0,High,0.2222222222222222
36,No,Travel_Rarely,Research & Development,3,2,Life Sciences,Female,1,Laboratory Technician,Divorced,5,No,22,4,1,7,2,1,0,0,0,2.4,Low,0.0
43,No,Travel_Frequently,Sales,26,2,Life Sciences,Male,4,Manager,Married,1,Yes,12,3,2,25,3,25,12,4,12,3.6,High,0.16
30,No,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,1,Research Scientist,Divorced,1,No,25,4,3,10,2,10,7,0,9,2.0,Low,0.0
33,No,Non-Travel,Sales,22,2,Marketing,Male,2,Sales Executive,Married,0,No,13,3,1,8,2,7,7,0,7,2.6,Medium,0.0
56,Yes,Travel_Rarely,Research & Development,14,4,Life Sciences,Female,1,Research Scientist,Married,9,Yes,18,3,3,7,2,5,4,4,3,2.2,Medium,0.8
51,No,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,5,Research Director,Single,7,No,13,3,0,23,5,20,18,15,15,2.6,High,0.75
31,Yes,Travel_Rarely,Sales,6,4,Life Sciences,Male,2,Sales Executive,Married,4,Yes,18,3,0,12,3,7,7,7,7,2.0,Medium,1.0
26,No,Travel_Rarely,Research & Development,6,3,Other,Female,1,Research Scientist,Married,1,No,19,3,0,5,3,5,4,4,3,2.4,Low,0.8
58,Yes,Travel_Rarely,Research & Development,23,4,Medical,Female,3,Healthcare Representative,Married,1,No,12,3,1,40,3,40,10,15,6,3.4,High,0.375
19,Yes,Travel_Rarely,Sales,22,1,Marketing,Male,1,Sales Representative,Single,1,Yes,19,3,0,0,2,0,0,0,0,3.2,Low,0.0
22,No,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,1,Laboratory Technician,Married,0,No,14,3,1,3,2,2,1,2,1,3.2,Low,1.0
49,No,Travel_Rarely,Research & Development,20,4,Medical,Female,2,Manufacturing Director,Married,1,No,14,3,0,16,2,15,11,5,11,2.4,High,0.3333333333333333
43,No,Travel_Frequently,Research & Development,28,3,Medical,Female,1,Research Scientist,Single,4,No,12,3,0,18,2,3,2,1,2,3.2,Medium,0.3333333333333333
50,No,Travel_Frequently,Sales,12,3,Marketing,Female,3,Sales Executive,Single,4,No,11,3,0,16,3,2,2,2,1,3.4,High,1.0
31,Yes,Travel_Rarely,Sales,20,3,Life Sciences,Female,2,Sales Executive,Married,3,Yes,11,3,1,4,2,2,2,2,2,2.4,Medium,1.0
41,No,Travel_Rarely,Sales,9,1,Life Sciences,Male,3,Sales Executive,Divorced,3,Yes,13,3,1,12,2,9,7,0,7,3.0,High,0.0
26,No,Travel_Rarely,Human Resources,25,1,Life Sciences,Female,1,Human Resources,Married,1,No,23,4,1,8,3,8,7,5,7,3.2,Low,0.625
36,No,Travel_Rarely,Research & Development,6,2,Medical,Male,2,Manufacturing Director,Divorced,6,No,20,4,2,7,0,3,2,0,1,2.8,Medium,0.0
51,Yes,Travel_Frequently,Research & Development,8,4,Life Sciences,Male,3,Manufacturing Director,Single,2,No,15,3,0,18,2,4,2,0,3,2.6,High,0.0
39,No,Travel_Rarely,Sales,4,4,Life Sciences,Female,2,Sales Executive,Married,4,No,14,3,1,17,1,15,11,5,9,3.2,Medium,0.3333333333333333
25,No,Travel_Rarely,Sales,28,3,Life Sciences,Male,2,Sales Executive,Married,2,No,18,3,0,6,3,2,2,2,2,2.6,High,1.0
30,No,Travel_Rarely,Human Resources,9,3,Human Resources,Male,2,Human Resources,Married,0,Yes,19,3,0,12,2,11,9,4,7,3.0,Medium,0.36363636363636365
32,Yes,Travel_Rarely,Research & Development,9,3,Medical,Female,1,Laboratory Technician,Single,7,No,22,4,0,10,2,5,4,0,4,2.0,Medium,0.0
45,No,Travel_Rarely,Research & Development,29,3,Medical,Male,1,Research Scientist,Single,5,No,13,3,0,9,2,6,5,0,3,2.8,Low,0.0
38,No,Travel_Rarely,Research & Development,3,5,Technical Degree,Female,2,Research Scientist,Single,3,Yes,20,4,0,19,2,3,2,2,2,3.0,Medium,0.6666666666666666
30,No,Travel_Rarely,Research & Development,18,3,Life Sciences,Female,1,Research Scientist,Single,1,No,14,3,0,5,4,5,4,0,4,2.4,Low,0.0
32,No,Travel_Frequently,Sales,9,2,Medical,Male,2,Sales Executive,Divorced,0,No,17,3,3,9,2,8,7,0,7,3.4,Medium,0.0
30,No,Travel_Rarely,Research & Development,5,3,Technical Degree,Female,1,Research Scientist,Divorced,5,No,14,3,1,8,3,3,2,2,2,3.0,Low,0.6666666666666666
30,No,Travel_Rarely,Research & Development,2,1,Medical,Male,1,Laboratory Technician,Single,0,No,13,3,0,6,3,5,3,1,2,3.0,Low,0.2
41,No,Travel_Frequently,Research & Development,10,3,Life Sciences,Male,4,Manager,Divorced,4,No,13,3,1,21,2,7,6,7,7,2.2,High,1.0
41,No,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Laboratory Technician,Married,2,No,21,4,1,7,2,5,0,1,4,2.8,Low,0.2
19,No,Travel_Rarely,Research & Development,3,1,Medical,Female,1,Laboratory Technician,Single,1,No,14,3,0,1,3,1,0,0,0,2.8,Low,0.0
40,No,Travel_Frequently,Research & Development,26,3,Medical,Female,2,Research Scientist,Divorced,1,No,11,3,1,20,2,20,7,2,13,2.2,Medium,0.1
35,No,Travel_Rarely,Sales,1,5,Marketing,Male,3,Sales Executive,Married,1,No,13,3,2,10,3,10,8,0,6,2.4,High,0.0
53,No,Travel_Rarely,Sales,6,2,Marketing,Male,2,Sales Representative,Married,2,Yes,20,4,1,13,3,7,7,4,5,2.6,Low,0.5714285714285714
45,No,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,2,Laboratory Technician,Divorced,8,No,18,3,1,20,2,17,9,0,15,2.2,Low,0.0
32,No,Travel_Frequently,Sales,8,3,Marketing,Female,3,Sales Executive,Single,1,No,14,3,0,9,2,9,8,3,7,3.2,High,0.3333333333333333
29,No,Non-Travel,Research & Development,1,1,Technical Degree,Male,2,Manufacturing Director,Married,1,No,13,3,1,10,1,10,7,0,9,2.8,Medium,0.0
51,No,Travel_Rarely,Research & Development,7,4,Medical,Male,2,Manufacturing Director,Married,2,No,17,3,0,10,2,1,0,0,0,2.6,Medium,0.0
58,No,Travel_Rarely,Research & Development,9,3,Medical,Female,1,Research Scientist,Married,4,Yes,20,4,1,9,3,1,0,0,0,2.0,Low,0.0
40,No,Travel_Rarely,Sales,4,4,Marketing,Male,3,Sales Executive,Married,7,No,11,3,1,15,2,12,11,2,11,2.4,High,0.16666666666666666
34,No,Travel_Frequently,Sales,2,4,Marketing,Female,1,Sales Representative,Married,6,No,18,3,1,6,3,4,3,1,2,3.2,Low,0.25
22,No,Travel_Rarely,Research & Development,19,1,Medical,Male,1,Research Scientist,Married,1,No,24,4,2,2,6,2,2,2,2,2.8,Low,1.0
27,No,Non-Travel,Research & Development,9,3,Medical,Male,1,Research Scientist,Divorced,6,No,18,3,1,6,1,2,2,2,2,2.8,Low,1.0
28,No,Travel_Rarely,Research & Development,21,3,Medical,Male,1,Research Scientist,Married,1,No,11,3,1,5,2,5,2,0,2,2.8,Low,0.0
57,No,Travel_Rarely,Research & Development,24,2,Life Sciences,Male,3,Healthcare Representative,Divorced,3,Yes,16,3,1,12,2,5,3,1,4,2.8,High,0.2
27,No,Non-Travel,Research & Development,3,3,Medical,Male,1,Research Scientist,Divorced,1,Yes,15,3,1,1,2,1,1,0,1,2.8,Low,0.0
50,No,Travel_Rarely,Research & Development,11,3,Life Sciences,Female,5,Manager,Single,3,No,15,3,0,21,5,5,4,4,4,2.6,High,0.8
41,No,Travel_Rarely,Research & Development,14,3,Life Sciences,Male,1,Research Scientist,Divorced,4,No,12,3,1,13,2,9,8,1,8,2.2,Low,0.1111111111111111
30,No,Travel_Rarely,Sales,5,3,Life Sciences,Female,3,Sales Executive,Married,2,No,12,3,1,12,2,10,9,7,4,3.0,High,0.7
38,No,Travel_Rarely,Sales,1,4,Life Sciences,Female,2,Sales Executive,Single,4,No,22,4,0,12,2,8,3,0,7,2.8,High,0.0
32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,Male,1,Research Scientist,Single,3,No,20,4,0,8,2,5,4,1,4,2.6,Low,0.2
27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,Male,1,Research Scientist,Married,0,Yes,16,3,1,6,3,5,2,1,1,2.8,Low,0.2
19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,Female,1,Sales Representative,Single,0,No,21,4,0,1,5,0,0,0,0,2.0,Low,0.0
